
2025/02/25 (10:46:51) | ===> btop++ v.1.4.0
2025/02/25 (10:46:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (17:45:59) | ===> btop++ v.1.4.0
2025/02/25 (17:45:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (22:52:28) | ===> btop++ v.1.4.0
2025/02/28 (22:52:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (23:03:47) | ===> btop++ v.1.4.0
2025/02/28 (23:03:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (00:45:54) | ===> btop++ v.1.4.0
2025/03/02 (00:45:54) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (22:32:15) | ===> btop++ v.1.4.0
2025/03/02 (22:32:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (15:28:06) | ===> btop++ v.1.4.0
2025/03/05 (15:28:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/05 (17:04:20) | ===> btop++ v.1.4.0
2025/03/05 (17:04:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (21:47:18) | ===> btop++ v.1.4.0
2025/03/07 (21:47:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/22 (22:12:29) | ===> btop++ v.1.4.0
2025/03/22 (22:12:29) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/24 (21:21:30) | ===> btop++ v.1.4.0
2025/03/24 (21:21:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (09:59:47) | ===> btop++ v.1.4.0
2025/03/25 (09:59:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/25 (10:02:59) | ===> btop++ v.1.4.0
2025/03/25 (10:02:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/27 (16:04:12) | ===> btop++ v.1.4.0
2025/03/27 (16:04:12) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (15:23:09) | ===> btop++ v.1.4.0
2025/03/28 (15:23:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/28 (16:05:51) | ===> btop++ v.1.4.0
2025/03/28 (16:05:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (09:22:21) | ===> btop++ v.1.4.0
2025/04/02 (09:22:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/02 (17:53:58) | ===> btop++ v.1.4.0
2025/04/02 (17:53:58) | WARNING: Intel GPU: Failed to initialize PMU
